url	author
http://earthportation.blogspot.com/2013/11/earth-portation-curated-news-november.html	Maggie Paula
http://kerrycollison.blogspot.com/2013/10/christine-mcguigan-12.html	Kerry Collison
http://www.zerohedge.com/news/2013-10-09/how-brazils-middle-class-dream-became-debt-fuelled-nightmare	Tyler Durden
http://www.benzinga.com/news/13/10/3980397/government-shutdown-takes-a-bite-out-of-u-s-food-production-safety-and-pricing-da	Bruce Kennedy
http://www.gizmoenvy.com/2013/11/08/microsoft-streaming-games-is-cool-but-problematic-for-now/	Gizmo Envy
http://www.samsunggalaxyleaks.com/samsung-ativ-s-neo-arrives-on-att/	Edwin Kee
http://briderubiz.blogspot.com/2013/10/small-business-influencer-2013-awards.html	Brideru
http://www.crn.com/news/mobility/240162592/microsoft-windows-8-update-paves-way-for-phablet.htm?cid=rss_tax_Mobility	Lisa Barry
http://insureblog.blogspot.com/2013/10/garbage-in-garbage-out.html	Henry Stern
http://theforumnewsgroup.com/2013/11/04/denied-city-rejects-knockdown-centers-dob-applications/	TheForum
http://iphonphone.blogspot.com/2013/10/flykly-iphone-controlled-gps-smart.html	Yahaya Lamtalssi
http://mainesocialnetworking.com/?p=3595	Matthew Panzarino
http://www.channelregister.co.uk/2013/10/03/cloud_firms_are_money_losing_experts/	Joe Fay
http://associationsnow.com/2013/11/beyond-cookies-industry-groups-work-on-new-ad-tracking-technology/	Ernie Smith
http://babalublog.com/2013/10/09/obamacare-accounts-anything-you-say-can-and-will-be-used-against-you/	drillanwr
http://mainesocialnetworking.com/?p=11407	Anthony Ha
http://www.gizmoenvy.com/2013/11/01/calls-to-limit-speech-in-the-snowden-era-underscore-the-importance-of-a-free-press/	Gizmo Envy
http://www.samsunggalaxyleaks.com/att-offers-ipad-air-this-november-1st-also/	Edwin Kee
http://www.marketfolly.com/2013/10/cobalt-capitals-thesis-on-eog-resources.html	market folly
http://www.every-thing-tech.co.uk/2013/10/yandexs-metrica-for-apps-gives-mobile.html	Carlos Rocha
http://www.samsunggalaxyleaks.com/leaked-android-4-4-kitkat-build-appears-for-the-t-mobile-moto-x/	Will Verduzco
http://www.samsunggalaxyleaks.com/android-4-4-speculated-to-have-new-location-settings-features/	Juan Carlos Torres
http://skepticalspeculator.blogspot.com/2013/10/us-employment-disappoints-stocks-hit.html	lim
http://www.every-thing-tech.co.uk/2013/10/telefonica-takes-strategic-stake-in.html	Carlos Rocha
http://chris-osm.blogspot.com/2013/10/land-registry-inspire-polygons.html	Chris Hill
http://oldhickorysweblog.blogspot.com/2013/10/on-policy-cancellation-issue.html	Bruce Miller
http://kotaku.com/xbox-ones-top-marketer-brags-to-advertisers-about-kine-1441807229	Owen Good
http://www.gizmoenvy.com/2013/11/03/plotting-the-way-to-ipo-twitters-product-roadmap-has-become-too-data-driven/	Gizmo Envy
http://www.shakesville.com/2013/11/in-news_5.html	Melissa McEwan
http://www.crn.com/news/security/240162478/ie-zero-day-attacks-target-u-s-firms-government-unit.htm?cid=rssFeed	Robert Westervelt
http://www.bloomberg.com/news/2013-10-22/how-wall-street-fed-puerto-rico-s-70-billion-borrowing-binge.html	Michelle Kaske
http://perdidostreetschool.blogspot.com/2013/10/commissioner-king-says-no-to-evaluation.html	reality-based educator
http://www.iphonefirmware.com/verizon-activated-about-3-9-million-iphones-in-q3-2013/	Robert Nardis
http://alittleclass.blogspot.com/2013/11/a-mobile-marketing-frenzy.html	Katie Griff
http://www.gizmoenvy.com/2013/10/23/microsoft-acquires-apiphany-an-api-management-service-to-integrate-with-windows-azure/	Gizmo Envy
http://pharmagossip.blogspot.com/2013/10/drug-industry-can-profit-from-clinical.html	insider
http://www.thetradingreport.com/2013/10/31/three-reasons-a-zombie-apocalypse-wont-end-the-real-estate-recovery/	Wall Street Daily
http://www.activistpost.com/2013/10/15-reasons-online-anonymity-is-so.html	Activist Post
http://mainesocialnetworking.com/?p=5548	Alex Williams
http://lucky-payslip.blogspot.com/2013/10/apple-sells-more-cook-bullish.html	hueywynell65
http://hedgefundmgr.blogspot.com/2013/10/todays-headlines_30.html	Gary
http://ruthsreport.blogspot.com/2013/10/the-awful-obamacare.html	Ruth
http://gothamschools.org/2013/10/10/uft-calls-for-moratorium-on-high-stakes-for-common-core-tests/	Geoff Decker
http://n4bb.com/bbm-gains-20-million-new-users-week/	Lucas Atkins
http://www.samsunggalaxyleaks.com/huawei-building-regional-data-centre-in-malaysia/	Dusan Belic
http://valleywag.gawker.com/google-engineers-to-nsa-fuck-these-guys-1459515315	Sam Biddle
http://www.forbes.com/sites/larrymagid/2013/10/09/eliminating-international-data-fees-and-lowering-voice-roaming-costs-makes-t-mobile-a-good-choice-for-global-road-warriors/	Larry Magid
http://nextbigfuture.com/2013/10/trillions-of-sensors-to-enable-15.html	brian wang
http://green-technology-jobs.blogspot.com/2013/10/rogers-vs-bell-vs-telus-which-canadian.html	miciuva
http://www.iphonefirmware.com/daily-deals-for-october-21-2013-featuring-a-10-foot-charging-cable-for-the-iphone-5/	Robert Nardis
http://www.cfoworld.com/technology/75427/nsa-spied-35-world-leaders-according-leaked-document	John Ribeiro
http://mainesocialnetworking.com/?p=4753	Matthew Panzarino
http://ktelontour.blogspot.com/2013/10/should-have-stayed-with-two-wheels.html	karTER
http://www.samsunggalaxyleaks.com/zte-source-landing-at-cricket-on-sunday/	Dusan Belic
http://www.macgasm.net/2013/10/15/much-like-get-mac-ads-microsofts-scroogled-campaign-pretty-damn-successful/	Joshua Schnell
http://www.foxnews.com/politics/2013/10/25/hillary-builds-her-liberal-firewall/	Chris Stirewalt
http://bonjourplanetearth.blogspot.com/2013/11/vaccine-damage-international-plague.html	Tony Xong
http://www.bloomberg.com/news/2013-10-18/fed-qe-taper-seen-delayed-to-march-as-shutdown-bites.html	Catarina Saraiva
http://librarychronicles.blogspot.com/2013/10/tell-me-again-who-is-winning-this-thing.html	jeffrey
http://thewesterner.blogspot.com/2013/10/anti-bullying-programs-backfire-used-as.html	Frank DuBois
http://www.samsunggalaxyleaks.com/microsoft-co-founder-wants-to-spin-off-xbox-and-bing-brands-focus-more-on-b2b/	Tyler Lee
http://thecommonills.blogspot.com/2013/10/iraq-snapshot_10.html	Common Ills
http://www.foxbusiness.com/technology/2013/10/18/google-set-to-open-at-all-time-high-on-q3-earnings/	Matt Egan
http://www.samsunggalaxyleaks.com/fujitsu-intel-rework-computers-copper-innards-with-photons/	Stephen Shankland
http://parentscoalitionmc.blogspot.com/2013/10/bloomberg-news-sat-and-act-college-test.html	Louis Wilen
http://managedwordpresshosting.blogspot.com/2013/11/googles-schmidt-nsa-spying-on-data.html	StatusEngage
http://exclusiveconsulting.blogspot.com/2013/10/adobe-says-hackers-accessed-data-for-29.html	Courtney Crine
http://wwwmikeylikesit.blogspot.com/2013/11/obamacare.html	Mikey Likes It!
http://www.activistpost.com/2013/10/the-us-labor-force-participation-rate.html	Activist
http://www.zerohedge.com/news/2013-11-08/no-car-no-fico-score-no-problem-ninjas-have-taken-over-subprime-lunatic-asylum	Tyler Durden
http://hiddensecretsinternet.blogspot.com/2013/10/livescribe-beautiful-new-smartpen-turns.html	Charles Bunch
http://www.gizmoenvy.com/2013/11/03/swiss-telcos-cloud-aims-to-draw-customers-who-are-fearful-of-spying/	Gizmo Envy
http://upcoming-technologies.blogspot.com/2013/11/the-mma-hour-205-emanuel-newton.html	gilsiba
http://buildbacklinks-online.blogspot.com/2013/10/build-backlinks-online-title_31.html	Peter Clarke
http://warnewsupdates.blogspot.com/2013/10/nsa-director-alexander-denies-reports.html	War News Updates Editor
http://warnewsupdates.blogspot.com/2013/10/world-news-briefs-october-23-2013_23.html	War News Updates Editor
http://mainesocialnetworking.com/?p=4561	Frederic Lardinois
http://blogs.sacbee.com/capitolalertlatest/2013/10/am-alert-jerry-brown-john-perez-step-into-national-spotlight.html	Jeremy B. White
http://dikarockz.blogspot.com/2013/10/new-car-2015-cadillac-escalade.html	My Blog
http://www.zerohedge.com/news/2013-10-26/brazils-flaws-are-clear	Tyler Durden
http://manipulation-scandium.blogspot.com/2013/10/nsa-helps-itself-to-americans-online.html	worlowdorothea81
http://www.iphonefirmware.com/original-3g-ipad-owners-get-eligibility-claim-forms-for-proposed-settlement/	Robert Nardis
http://www.benzinga.com/news/13/10/4025875/mystery-barge-in-san-francisco-bay-might-belong-to-google	Tim Parker
http://warnewsupdates.blogspot.com/2013/10/the-nsas-massive-new-data-center-in.html	War News Updates Editor
http://alittleclass.blogspot.com/2013/10/amazons-next-secret-business.html	Minwoo Seo
http://rturner229.blogspot.com/2013/11/another-new-york-district-opts-out-of.html	Randy
http://defamer.gawker.com/kenan-thompson-thinks-black-women-arent-funny-enough-f-1445835115	Beejoli Shah
http://www.foxbusiness.com/technology/2013/11/04/blackberry-shares-plunge-on-report-buyout-plans-halted/	Matt Egan
http://insanelygood.blogspot.com/2013/10/daily-news-reuters-world-news-headlines_26.html	Superman
http://www.iphonefirmware.com/daily-deals-for-october-14-2013-featuring-the-heisenberg-t-shirt/	Robert Nardis
http://www.theatlanticwire.com/national/2013/10/us-intelligence-chief-denies-spying-french-phone-calls/70851/	Dvora Meyers
http://climatechangepsychology.blogspot.com/2013/10/Graham-Readfearn-climate-change-tony-abbott-australia-bushfire-denies-25-years-of-science.html	Tenney Naumer
http://warnewsupdates.blogspot.com/2013/10/new-edward-snowden-nsa-leak-nsa.html	War News Updates Editor
http://www.wealthdaily.com/articles/investing-in-steady-stimulus/4773	Joseph Cafariello
http://www.gizmoenvy.com/2013/11/03/there-are-no-more-tech-issues/	Gizmo Envy
http://www.costar.com/News/Article/New-Version-of-CoStars-iPad-App-Packs-Powerful-Analytics-Punch/153269	Tim Trainor
http://mashablearticle.blogspot.com/2013/10/surface-pro-2-is-workhorse-pc-like-no.html	Simon Acoustica
http://warnewsupdates.blogspot.com/2013/10/military-and-intelligence-news-briefs_31.html	War News Updates Editor
http://alittleclass.blogspot.com/2013/11/the-spread-of-logins-using-social-media.html	Sheera Hopkins
http://hockey-technology.blogspot.com/2013/10/sen-franken-calls-transparency-hearing.html	Matthew Sutherland
http://nishmablog.blogspot.com/2013/10/by-numbers-some-thoughts-about-pew.html	Rabbi R Wolpoe
http://www.biotechblog.com/2013/10/22/miscasting-data-linkage/	Yali Friedman
http://blogs.wsj.com/scene/2013/10/11/meet-ai-xuan-ai-weiweis-estranged-artist-brother/	Alexandra A. Seno
http://gawker.com/france-summons-u-s-ambassador-after-latest-snowden-lea-1448999544	Taylor Berman
http://hiddensecretsinternet.blogspot.com/2013/11/hgst-new-hard-drive-isn-full-of-hot-air.html	Charles Bunch
